Name,Temperature,Detailed Forecast
Today,51,"Rain showers. Cloudy, with a high near 51. South wind 7 to 13 mph. Chance of precipitation is 80%. New rainfall amounts between a tenth and quarter of an inch possible."
Tonight,29,"Rain showers before 11pm. Mostly cloudy, with a low around 29. West wind 6 to 12 mph. Chance of precipitation is 80%. New rainfall amounts less than a tenth of an inch possible."
Saturday,41,"A chance of rain and snow showers after 2pm. Mostly sunny, with a high near 41. West wind 6 to 15 mph, with gusts as high as 25 mph. Chance of precipitation is 30%."
Saturday Night,20,"A chance of snow showers before 2am. Mostly cloudy, with a low around 20. West wind 13 to 16 mph. Chance of precipitation is 30%."
Sunday,33,"A slight chance of snow showers between 8am and 2pm. Mostly cloudy, with a high near 33. West wind 16 to 21 mph. Chance of precipitation is 20%."
Sunday Night,22,"Mostly clear, with a low around 22."
Monday,47,"Sunny, with a high near 47."
Monday Night,25,"Mostly clear, with a low around 25."
Tuesday,51,"Mostly sunny, with a high near 51."
Tuesday Night,30,"Partly cloudy, with a low around 30."
Wednesday,51,"Partly sunny, with a high near 51."
Wednesday Night,31,"A chance of rain and snow showers after 2am. Partly cloudy, with a low around 31. Chance of precipitation is 30%."
Thursday,48,"A chance of snow showers before 10am, then a chance of rain showers. Partly sunny, with a high near 48. Chance of precipitation is 50%."
Thursday Night,38,"A chance of rain showers. Mostly cloudy, with a low around 38. Chance of precipitation is 50%."
